"","X","focal","non_focal","ratio","variable","spp"
"1",6,"Capsicum","Morning glory",95,"focal_pollen","Capsicum-Morning glory"
"5",13,"Eggplant","Water morning glory",74,"focal_pollen","Eggplant-Water morning glory"
"6",14,"Petunia","Water morning glory",49,"focal_pollen","Petunia-Water morning glory"
"7",15,"Tomato","Water morning glory",84,"focal_pollen","Tomato-Water morning glory"
"16",63,"Eggplant","Rocket",46,"focal_pollen","Eggplant-Rocket"
"17",64,"Petunia","Rocket",49,"focal_pollen","Petunia-Rocket"
"19",86,"Capsicum","White mustard",38,"focal_pollen","Capsicum-White mustard"
"20",95,"Tomato","Pak choi",49,"focal_pollen","Tomato-Pak choi"
"21",62,"Capsicum","Morning glory",5,"non_focal_pollen","Capsicum-Morning glory"
"25",131,"Eggplant","Water morning glory",26,"non_focal_pollen","Eggplant-Water morning glory"
"26",141,"Petunia","Water morning glory",51,"non_focal_pollen","Petunia-Water morning glory"
"27",151,"Tomato","Water morning glory",16,"non_focal_pollen","Tomato-Water morning glory"
"36",631,"Eggplant","Rocket",54,"non_focal_pollen","Eggplant-Rocket"
"37",641,"Petunia","Rocket",51,"non_focal_pollen","Petunia-Rocket"
"39",861,"Capsicum","White mustard",62,"non_focal_pollen","Capsicum-White mustard"
"40",951,"Tomato","Pak choi",51,"non_focal_pollen","Tomato-Pak choi"
